LAD21CD,LAD21NM,CAUTH21CD,CAUTH21NM
E08000001,Bolton,E47000001,Greater Manchester
E08000002,Bury,E47000001,Greater Manchester
E08000003,Manchester,E47000001,Greater Manchester
E08000004,Oldham,E47000001,Greater Manchester
E08000005,Rochdale,E47000001,Greater Manchester
E08000006,Salford,E47000001,Greater Manchester
E08000007,Stockport,E47000001,Greater Manchester
E08000008,Tameside,E47000001,Greater Manchester
E08000009,Trafford,E47000001,Greater Manchester
E08000010,Wigan,E47000001,Greater Manchester
E08000016,Barnsley,E47000002,South Yorkshire
E08000017,Doncaster,E47000002,South Yorkshire
E08000018,Rotherham,E47000002,South Yorkshire
E08000019,Sheffield,E47000002,South Yorkshire
E08000032,Bradford,E47000003,West Yorkshire
E08000033,Calderdale,E47000003,West Yorkshire
E08000034,Kirklees,E47000003,West Yorkshire
E08000035,Leeds,E47000003,West Yorkshire
E08000036,Wakefield,E47000003,West Yorkshire
E06000006,Halton,E47000004,Liverpool City Region
E08000011,Knowsley,E47000004,Liverpool City Region
E08000012,Liverpool,E47000004,Liverpool City Region
E08000013,St. Helens,E47000004,Liverpool City Region
E08000014,Sefton,E47000004,Liverpool City Region
E08000015,Wirral,E47000004,Liverpool City Region
E06000001,Hartlepool,E47000006,Tees Valley
E06000002,Middlesbrough,E47000006,Tees Valley
E06000003,Redcar and Cleveland,E47000006,Tees Valley
E06000004,Stockton-on-Tees,E47000006,Tees Valley
E06000005,Darlington,E47000006,Tees Valley
E08000025,Birmingham,E47000007,West Midlands
E08000026,Coventry,E47000007,West Midlands
E08000027,Dudley,E47000007,West Midlands
E08000028,Sandwell,E47000007,West Midlands
E08000029,Solihull,E47000007,West Midlands
E08000030,Walsall,E47000007,West Midlands
E08000031,Wolverhampton,E47000007,West Midlands
E06000031,Peterborough,E47000008,Cambridgeshire and Peterborough
E07000008,Cambridge,E47000008,Cambridgeshire and Peterborough
E07000009,East Cambridgeshire,E47000008,Cambridgeshire and Peterborough
E07000010,Fenland,E47000008,Cambridgeshire and Peterborough
E07000011,Huntingdonshire,E47000008,Cambridgeshire and Peterborough
E07000012,South Cambridgeshire,E47000008,Cambridgeshire and Peterborough
E06000022,Bath and North East Somerset,E47000009,West of England
E06000023,"Bristol, City of",E47000009,West of England
E06000025,South Gloucestershire,E47000009,West of England
E06000047,County Durham,E47000010,North East
E08000023,South Tyneside,E47000010,North East
E08000024,Sunderland,E47000010,North East
E08000037,Gateshead,E47000010,North East
E06000057,Northumberland,E47000011,North of Tyne
E08000021,Newcastle upon Tyne,E47000011,North of Tyne
E08000022,North Tyneside,E47000011,North of Tyne
