ITL321CD,ITL321NM,Application count
TLI43,Haringey and Islington,2.0
TLD33,Manchester,1.0
TLD34,Greater Manchester South West,1.0
TLD35,Greater Manchester South East,1.0
TLC14,Durham,1.0
TLI41,Hackney and Newham,1.0
TLC11,Hartlepool and Stockton-on-Tees,2.0
TLF21,Leicester,1.0
TLE31,"Barnsley, Doncaster and Rotherham",2.0
TLJ44,East Kent,1.0
TLJ43,Kent Thames Gateway,1.0
TLC13,Darlington,1.0
TLG31,Birmingham,1.0
TLE44,Calderdale and Kirklees,1.0
TLJ34,Isle of Wight,1.0
TLI45,Lambeth,1.0
TLF14,Nottingham,1.0
TLD37,Greater Manchester North East,2.0
TLG39,Wolverhampton,1.0
TLJ41,Medway,1.0
TLC22,Tyneside,2.0
TLJ31,Portsmouth,1.0
TLH15,Norwich and East Norfolk,1.0
,,
TLD71,East Merseyside,3.0
TLD73,Sefton,1.0
TLD74,Wirral,1.0
TLH14,Suffolk CC,1.0
TLI72,Brent,1.0
TLC23,Sunderland,1.0
TLF30,Lincolnshire CC,1.0
TLC21,Northumberland,1.0
TLI44,Lewisham and Southwark,2.0
TLK41,Plymouth,1.0
TLE42,Leeds,1.0
TLD36,Greater Manchester North West,1.0
TLD41,Blackburn with Darwen,1.0
TLJ22,East Sussex CC,1.0
TLH37,Essex Thames Gateway,1.0
TLD46,East Lancashire,1.0
TLG33,Coventry,1.0
TLF15,North Nottinghamshire,2.0
TLF12,East Derbyshire,1.0
TLF11,Derby,1.0
TLG12,Worcestershire CC,1.0
TLD42,Blackpool,1.0
TLE32,Sheffield,1.0
TLG23,Stoke-on-Trent,1.0
TLG32,Solihull,1.0
