Ethnic Group,None,None,None,Christian,Christian,Christian,Muslim,Muslim,Muslim
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,
White,58.6,0.6,0.5,56.6,0.7,0.7,49.1,9.9,10
Black,35.6,5.5,5.9,35.6,2.7,2.8,21.3,3.8,4.4
Pakistani,29.2,15.6,22.8,9.5,8.2,35.8,34.2,2.4,2.5
Indian,48.4,9.1,9.2,37.1,7.8,8.5,44.1,5.9,6.1
Bangladeshi,44.8,21.8,24,,,,36.1,3.9,4.1
Chinese,20.6,4.4,5.3,41.8,14.1,15.6,,,
Other Asian,45.7,8,8.2,36.6,6,6.4,24.6,5.9,7
Mixed/Multiple,47,3.3,3.3,40.1,4,4.2,41.3,9.9,10.6
Other,53,8.1,8,42.5,5.9,6.2,19.2,3.3,3.8
